,Apple_Close,Security_avg
2021-06-08,0.006592010165991535,-0.021219999999999996
2021-06-09,0.003313870916837658,-0.268535
2021-06-10,-0.00825731362063542,-0.08336000000000003
2021-06-11,0.009849337879628939,0.20609000000000002
2021-06-14,0.02463956228440689,0.17335000000000003
2021-06-15,-0.005747566863361198,0.06182999999999998
2021-06-16,0.0030830892554338796,0.018640000000000007
2021-06-17,0.01260181343168898,-0.072455
2021-06-18,-0.010471998785855141,-0.09828
2021-06-21,0.014493865030674735,0.105125
2021-06-22,0.012699372590520897,0.09197999999999998
2021-06-23,-0.0020153765768455845,0.012780000000000005
2021-06-24,-0.002243829468960179,-0.15407500000000002
2021-06-25,-0.0021739130434782483,-0.02962499999999999
2021-06-28,0.012320637067087192,0.030735000000000002
2021-06-29,0.011725417439703234,-0.048560000000000006
2021-06-30,0.004474437027800038,-0.08970000000000002
2021-07-01,0.0024098145173070407,0.15791
2021-07-02,0.019596415822831004,-0.068425
