,Apple_Close,Inflation_avg,RegTech_avg,Covid_avg
2021-06-07,0.00023832221163022638,0.08506999999999998,-0.05373999999999999,0.067275
2021-06-08,0.006592010165991535,0.16085499999999997,-0.021219999999999996,0.003989999999999999
2021-06-09,0.003313870916837658,-0.05268500000000002,-0.268535,-0.026815
2021-06-10,-0.00825731362063542,-0.007729999999999992,-0.08336000000000003,0.06336
2021-06-11,0.009849337879628939,0.06007,0.20609000000000002,0.03035
2021-06-14,0.02463956228440689,0.16002999999999998,0.17335000000000006,-0.051515
2021-06-15,-0.005747566863361198,-0.026629999999999997,0.06182999999999998,-0.061655
2021-06-16,0.0030830892554338796,0.06893500000000001,0.018640000000000007,-0.018874999999999996
2021-06-17,0.01260181343168898,0.061724999999999995,-0.072455,-0.016150000000000005
2021-06-18,-0.010471998785855141,0.11196500000000001,-0.09828,-0.10073500000000002
2021-06-21,0.014493865030674735,0.031665,0.105125,-0.022604999999999997
2021-06-22,0.012699372590520897,0.18112000000000003,0.09197999999999999,0.012825000000000008
2021-06-23,-0.0020153765768455845,0.08410999999999999,0.012780000000000005,-0.033995000000000004
2021-06-24,-0.002243829468960179,0.009060000000000002,-0.15407500000000002,-0.10053000000000001
2021-06-25,-0.0021739130434782483,-0.06061,-0.02962499999999999,-0.05700499999999999
2021-06-28,0.012320637067087192,-0.053415000000000004,0.030735000000000002,-0.030965
2021-06-29,0.011725417439703234,0.03755499999999999,-0.048560000000000006,0.009470000000000003
2021-06-30,0.004474437027800038,0.008740000000000003,-0.08969999999999999,0.031275000000000004
2021-07-01,0.0024098145173070407,-0.10281500000000002,0.15791,-0.0178
2021-07-02,0.019596415822831004,0.035320000000000004,-0.068425,-0.06353500000000001
